Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Training Time (s)
SVC (RBF),0.5269552012148823,0.5317006734434705,0.5159736530157712,0.5161682929046305,0.5269552012148823,0.5269552012148823,0.5269552012148823,0.5371436310163415,0.5269552012148823,0.5255279952647167,213.568519115448
MLPClassifier,0.46203492786636297,0.45378131124028515,0.45273170058746837,0.451919188097087,0.46203492786636297,0.46203492786636297,0.46203492786636297,0.4629622070902079,0.46203492786636297,0.46113916301130153,63.298471212387085
SGDClassifier,0.5189825360668185,0.5209505538162353,0.5084162830736377,0.509211399248217,0.5189825360668185,0.5189825360668185,0.5189825360668185,0.5296495026533058,0.5189825360668185,0.5187731481161906,6.840490102767944
RandomForest,0.49810174639331817,0.4882541570143128,0.48517325004708783,0.4798782417958267,0.49810174639331817,0.49810174639331817,0.49810174639331817,0.494123830059439,0.49810174639331817,0.4904801748235836,20.927676916122437
XGBoost,0.486712224753227,0.4893383594553223,0.4768539298546183,0.4771465791010316,0.486712224753227,0.486712224753227,0.486712224753227,0.4937017542188002,0.486712224753227,0.4850546905126619,109.39158892631531
