Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Training Time (s)
SVC (RBF),0.05305821665438467,0.0026529108327192335,0.05,0.005038488453463961,0.05305821665438467,0.05305821665438467,0.05305821665438467,0.002815174354543623,0.05305821665438467,0.005346664239490128,268.28158164024353
MLPClassifier,0.04900515843773029,0.04771899587546553,0.04827087928316027,0.04762571786786593,0.04900515843773029,0.04900515843773029,0.04900515843773029,0.04835389787024397,0.04900515843773029,0.04829968602588716,60.11033868789673
SGDClassifier,0.051952837140751655,0.04729373609370362,0.050383125530065166,0.03990065089451367,0.051952837140751655,0.051952837140751655,0.051952837140751655,0.047773281846000534,0.051952837140751655,0.04069926448249026,8.395633935928345
RandomForest,0.05232129697862933,0.051879504053725566,0.050920811941647916,0.050035424764093964,0.05232129697862933,0.05232129697862933,0.05232129697862933,0.0520939042095707,0.05232129697862933,0.051075385500607105,41.07357597351074
XGBoost,0.05121591746499631,0.04834914689403003,0.049577926908076594,0.04853713107709691,0.05121591746499631,0.05121591746499631,0.05121591746499631,0.049493302221410455,0.05121591746499631,0.04996033834146582,158.95790839195251
