Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Training Time (s)
SVC (RBF),0.5140470766894457,0.5273525482117718,0.5031631089361496,0.5071341620390564,0.5140470766894457,0.5140470766894457,0.5140470766894457,0.5324771118248833,0.5140470766894457,0.5161724213763383,213.70519709587097
MLPClassifier,0.4521640091116173,0.44640248781373915,0.4453933443882764,0.4450231532525404,0.4521640091116173,0.4521640091116173,0.4521640091116173,0.4533906056961225,0.4521640091116173,0.4518781743441002,54.26823878288269
SGDClassifier,0.4832953682611997,0.4939274512388079,0.4684998415505448,0.45767234684371944,0.4832953682611997,0.4832953682611997,0.4832953682611997,0.5003829395694306,0.4832953682611997,0.4697106690949415,5.9204630851745605
RandomForest,0.48291571753986334,0.47681968101086686,0.4703901480303868,0.4659652182493839,0.48291571753986334,0.48291571753986334,0.48291571753986334,0.4818677511988824,0.48291571753986334,0.4757936227150056,20.212270975112915
XGBoost,0.4715261958997722,0.48381699541365697,0.4612824490892762,0.4660705770729779,0.4715261958997722,0.4715261958997722,0.4715261958997722,0.4889486196365985,0.4715261958997722,0.47434671398732287,114.27078104019165
