Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Training Time (s)
SVC (Linear),0.5907365223993926,0.5832939523892272,0.57953183260667,0.5791559971568395,0.5907365223993926,0.5907365223993926,0.5907365223993926,0.5915895425903341,0.5907365223993926,0.589157838683998,96.12779474258423
MLPClassifier,0.5592255125284739,0.553744929253976,0.5512617199785664,0.5517131842417048,0.5592255125284739,0.5592255125284739,0.5592255125284739,0.5613602835244914,0.5592255125284739,0.5594727096075297,93.92781639099121
SGDClassifier,0.5876993166287016,0.5727698196466614,0.5713922306183579,0.5604013029511143,0.5876993166287016,0.5876993166287016,0.5876993166287016,0.5824492580546913,0.5876993166287016,0.5743070012258443,10.789315223693848
RandomForest,0.4988610478359909,0.5880157769588618,0.48124480167419215,0.48421550269511143,0.4988610478359909,0.4988610478359909,0.4988610478359909,0.5953110087881958,0.4988610478359909,0.4997991166389742,6.76013708114624
XGBoost,0.5793470007593015,0.5719275765059618,0.5676885168538297,0.5675229797435732,0.5793470007593015,0.5793470007593015,0.5793470007593015,0.5798969054702983,0.5793470007593015,0.5774731008641495,250.16610097885132
